number,event_number,particle_name,particle_id,E,Px,Py,Pz
9551,7497,e-,11,172.724,-16.2103,50.7474,164.303
9552,7497,e+,-11,121.232,-14.4572,20.2757,118.647
9553,7498,e+,-11,103.336,41.6852,70.5771,62.9249
9554,7498,e-,11,164.3,-28.5655,22.7241,160.194
9555,7500,e-,11,296.124,98.1188,13.0989,-279.089
9556,7500,e+,-11,133.931,-87.464,-22.8287,-98.8253
9557,7501,e+,-11,59.4698,17.6316,10.5401,55.8094
9558,7503,e+,-11,66.5516,-61.162,14.7626,-21.6882
9559,7503,e-,11,64.8436,24.3527,-47.3982,-36.9466
9560,7504,e-,11,220.875,20.8988,33.6027,217.302
9561,7506,e+,-11,33.923,13.2573,4.97203,-30.8268
9562,7507,e+,-11,44.8419,-25.6064,8.03119,-35.925
9563,7507,e-,11,23.5482,20.8182,-5.83805,9.32928
9564,7508,e-,11,40.8994,-10.2778,-39.1752,-5.69508
9565,7508,e+,-11,52.6696,30.6514,8.6192,41.9558
9566,7509,e+,-11,381.08,-35.188,-344.863,158.281
9567,7509,e-,11,120.644,3.99975,56.7147,-106.406
9568,7510,e-,11,60.1968,-55.7433,-3.30597,-22.4814
9569,7510,e+,-11,38.2013,-23.9773,-27.7046,10.8115
9570,7511,e+,-11,86.0821,59.4437,-31.7538,53.5563
9571,7512,e-,11,45.2109,3.19922,-26.2959,-36.6376
9572,7513,e-,11,64.7559,0.155426,-25.7347,-59.4224
9573,7514,e-,11,52.2857,-39.1672,-14.6211,-31.3999
9574,7515,e-,11,20.6252,-8.11382,-17.6484,-6.93536
9575,7515,e+,-11,48.4462,-2.6453,-18.4672,-44.7102
9576,7517,e-,11,281.164,118.027,35.2439,-252.747
9577,7517,e+,-11,100.586,-86.8443,-32.9019,-38.6408
9578,7518,e+,-11,158.523,105.148,-114.858,-29.6827
9579,7518,e-,11,94.1209,-72.0091,30.2018,-52.5479
9580,7519,e+,-11,63.5006,62.5184,4.79522,-10.0394
9581,7520,e-,11,252.582,-17.2855,50.3043,-246.918
9582,7521,e-,11,45.9882,24.284,39.0487,-0.636362
9583,7522,e-,11,39.0777,-15.3477,-35.9301,-0.734863
9584,7523,e+,-11,51.5518,24.9868,-7.75886,-44.419
9585,7523,e-,11,45.7167,-17.3873,12.8874,-40.2693
9586,7524,e+,-11,63.1651,-34.7453,52.4608,5.51867
9587,7524,e-,11,46.657,-26.6506,7.00859,37.6497
9588,7529,e-,11,69.8492,-38.6645,10.3678,57.2406
9589,7529,e+,-11,44.7309,-21.9553,-0.00479816,38.972
9590,7530,e-,11,787.176,-150.225,40.4351,771.65
9591,7532,e+,-11,151.553,66.0326,63.3665,-120.8
9592,7533,e+,-11,59.3961,19.6415,55.9712,-3.05491
9593,7533,e-,11,84.6344,4.99578,-40.33,74.2396
9594,7535,e-,11,40.4467,12.9411,26.5307,27.6512
9595,7535,e+,-11,28.3491,19.5361,1.14717,-20.5108
9596,7536,e+,-11,263.636,78.1987,-59.77,-244.574
9597,7537,e+,-11,156.236,42.4203,-0.474581,150.366
9598,7538,e+,-11,93.8194,-69.4514,59.7284,-20.2754
9599,7538,e-,11,132.406,-7.65539,-32.9921,128.001
9600,7539,e+,-11,23.0029,-12.227,17.1955,-9.16241
9601,7540,e+,-11,529.37,-3.34189,122.82,514.915
9602,7541,e-,11,99.7613,6.25017,39.093,91.5695
9603,7542,e+,-11,161.87,63.6744,-127.772,-76.3012
9604,7542,e-,11,48.9163,-1.8176,39.5686,28.7023
9605,7543,e-,11,92.5058,-75.0551,32.8322,-42.9663
9606,7543,e+,-11,180.002,-36.2642,3.39427,-176.278
9607,7544,e+,-11,88.8374,-5.86189,-86.559,19.1122
9608,7545,e-,11,204.097,49.3819,-62.9591,187.758
9609,7546,e+,-11,456.794,-58.5158,-62.6795,448.674
9610,7548,e+,-11,305.237,16.3543,61.5942,298.511
9611,7549,e-,11,75.3253,14.1623,45.5585,-58.2902
9612,7549,e+,-11,44.0793,-39.4338,-7.99616,18.0005
9613,7550,e-,11,113.801,-13.679,107.847,33.6553
9614,7550,e+,-11,39.7195,-0.528694,21.732,33.2428
9615,7551,e-,11,29.4546,25.8648,-12.8225,-5.8455
9616,7552,e-,11,26.8205,-20.1738,0.775544,-17.6565
9617,7553,e-,11,117.582,0.145079,-36.951,111.624
9618,7554,e+,-11,197.959,-119.225,-57.6477,-147.139
9619,7554,e-,11,95.1562,62.661,60.9566,37.5845
9620,7556,e-,11,89.5819,-11.1371,-29.8305,83.7319
9621,7557,e+,-11,121.171,-54.669,21.7191,-105.934
9622,7557,e-,11,34.8797,-17.5822,-9.89732,-28.4517
9623,7559,e+,-11,204.868,0.0134067,-84.6462,-186.563
9624,7560,e-,11,52.9457,3.16391,-48.4198,-21.184
9625,7561,e-,11,23.9211,-11.9143,-20.7301,0.73001
9626,7563,e-,11,52.2675,51.857,-5.85078,-2.91703
9627,7563,e+,-11,66.3465,5.42299,42.2877,-50.8349
9628,7565,e+,-11,38.2288,21.1627,-8.28325,-30.7403
9629,7566,e+,-11,327.391,-65.8007,62.576,-314.546
9630,7566,e-,11,295.06,67.1371,-43.1039,-284.069
9631,7567,e-,11,584.8,123.883,26.6122,-570.908
9632,7567,e+,-11,69.7181,25.2587,-9.24955,-64.32
9633,7568,e-,11,249.336,-147.677,-95.5792,176.705
9634,7568,e+,-11,113.055,80.9041,69.2122,38.0208
9635,7570,e+,-11,59.1377,51.3446,29.3103,-1.37964
9636,7570,e-,11,50.7298,-39.5251,-22.8491,22.1177
9637,7571,e+,-11,72.935,13.1117,34.5319,62.89
9638,7572,e-,11,170.811,49.9887,-0.906031,163.33
9639,7573,e+,-11,261.056,115.451,29.8505,-232.228
9640,7573,e-,11,73.1024,-26.5303,23.1402,-64.0674
9641,7574,e-,11,363.745,56.6387,30.6443,357.999
9642,7575,e-,11,31.9996,-23.8498,21.1484,-2.81143
9643,7576,e-,11,61.6603,35.3796,17.7598,-47.2744
9644,7576,e+,-11,66.171,26.5597,-24.245,-55.546
9645,7577,e-,11,160.963,-113.975,11.2182,113.105
9646,7577,e+,-11,133.465,35.246,61.6038,113.029
9647,7578,e-,11,342.54,-53.5968,-69.0396,331.202
9648,7578,e+,-11,109.505,52.36,58.6896,-76.1922
9649,7579,e-,11,27.9855,-24.5334,13.4167,-1.13644
9650,7580,e-,11,31.0083,27.0588,4.48712,-14.4637
9651,7581,e+,-11,38.2531,-18.7401,-30.1675,14.2137
9652,7582,e-,11,161.111,126.898,72.5656,67.7345
9653,7582,e+,-11,303.289,-100.153,-24.7085,285.207
9654,7583,e-,11,37.5019,33.6899,10.0584,-13.0466
9655,7583,e+,-11,21.1738,-7.28904,10.3317,-16.9839
9656,7584,e+,-11,122.005,11.8725,52.5315,109.475
9657,7585,e-,11,75.4962,17.5689,19.2057,70.8671
9658,7586,e+,-11,232.373,123.129,-22.1956,195.815
9659,7587,e+,-11,287.6,130.321,-109.668,231.739
9660,7587,e-,11,10.5432,-5.96015,-8.57402,-1.45697
9661,7590,e-,11,230.474,207.898,84.9338,51.7957
9662,7590,e+,-11,149.217,-106.464,-25.4532,-101.407
9663,7591,e-,11,62.5827,28.4801,-19.6442,-52.1497
9664,7593,e-,11,56.1356,-46.7482,17.4592,25.7097
9665,7597,e+,-11,124.99,36.3941,-61.5188,-102.535
9666,7598,e-,11,206.475,-91.3651,-182.143,33.2948
9667,7598,e+,-11,15.9468,-2.99131,-12.8606,-8.94189
9668,7599,e-,11,159.731,-25.3958,-28.6913,155.067
9669,7599,e+,-11,18.2927,9.35877,-15.5954,1.95463
9670,7600,e+,-11,38.9649,22.8174,11.8234,29.2888
9671,7600,e-,11,52.6374,-13.7799,-8.15393,-50.143
9672,7601,e-,11,32.264,23.865,19.2683,-10.008
9673,7601,e+,-11,63.7754,16.5512,-7.89265,-61.0824
9674,7602,e+,-11,440.716,87.9502,-23.2524,431.225
9675,7603,e+,-11,53.3736,39.0916,34.3128,11.9673
9676,7603,e-,11,20.1628,19.7157,2.57677,-3.34528
9677,7604,e+,-11,63.2273,43.0698,-12.5478,44.556
9678,7604,e-,11,53.3967,-24.4379,23.8818,-41.0324
9679,7605,e-,11,77.9931,41.9612,19.0295,-62.929
9680,7605,e+,-11,88.1342,-37.7526,3.49987,79.5621
9681,7606,e-,11,495.311,-14.9086,127.423,478.408
