number,event_number,particle_name,particle_id,E,Px,Py,Pz
10744,7862,e-,11,141.801,-6.32437,80.1024,-116.838
10745,7862,e+,-11,156.542,2.10028,-57.885,-145.432
10746,7863,e-,11,56.048,-42.1075,-1.44005,36.9629
10747,7863,e+,-11,37.082,25.8954,-26.5425,0.00641212
10748,7864,e+,-11,128.862,65.8581,4.85485,110.655
10749,7864,e-,11,52.3743,4.24054,-20.8065,47.8767
10750,7865,e-,11,283.151,26.7747,-53.5342,276.752
10751,7865,e+,-11,54.9554,-15.2327,-5.15737,52.5496
10752,7866,e-,11,41.7533,28.0128,27.1468,14.8886
10753,7866,e+,-11,119.61,13.593,-17.069,-117.603
10754,7867,e-,11,40.5223,37.1381,-0.319607,16.2086
10755,7868,e-,11,31.0346,1.59671,29.4622,-9.62158
10756,7869,e-,11,36.68,30.9309,18.4901,-6.84205
10757,7870,e+,-11,142.228,-59.9,57.6111,-115.42
10758,7871,e-,11,117.494,-25.9392,61.2921,-96.8258
10759,7872,e+,-11,175.753,20.3139,44.3322,168.852
10760,7873,e+,-11,66.6474,-34.8052,2.48365,56.783
10761,7874,e+,-11,100.852,27.5752,-95.5389,-16.8243
10762,7874,e-,11,310.196,8.45668,60.6221,304.097
10763,7875,e-,11,31.9824,23.0547,19.0961,11.2559
10764,7875,e+,-11,25.7963,19.786,11.0201,-12.3498
10765,7876,e-,11,30.2398,-16.2166,22.8672,11.3382
10766,7876,e+,-11,20.8588,-2.32194,-20.4012,3.6729
10767,7877,e-,11,70.3575,11.6405,39.6799,-56.9226
10768,7877,e+,-11,42.9804,-30.7011,22.3103,-20.1745
10769,7878,e-,11,38.6277,-6.29991,30.8367,-22.3944
10770,7878,e+,-11,71.0012,-12.6801,-11.0605,-68.9786
10771,7879,e-,11,143.513,-134.096,-42.7457,-28.0536
10772,7880,e+,-11,85.2179,24.2675,16.1003,-80.0872
10773,7881,e-,11,64.6192,-55.2092,29.3342,-16.3429
10774,7881,e+,-11,133.576,-21.1931,28.914,128.675
10775,7882,e+,-11,102.849,83.7857,57.5134,15.8108
